significance,relevance,tags_recommended,tags_recommended_count,tags_relevant,tags_relavant_pct
0.2,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'apex', 'salesforce-service-cloud', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",19,14,73.7
0.25,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'apex', 'salesforce-service-cloud', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",19,14,73.7
0.3,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'apex', 'salesforce-service-cloud', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",19,14,73.7
0.35,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'apex', 'salesforce-service-cloud', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",18,13,72.2
0.05,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",12,7,58.3
0.1,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",12,7,58.3
0.15,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.2,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.25,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.3,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.35,0.01,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",10,6,60
0.05,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.1,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",11,7,63.6
0.15,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",10,7,70
0.2,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",10,7,70
0.25,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",10,7,70
0.3,0.015,"['lotus', 'lotusscript', 'apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",10,7,70
0.35,0.015,"['lotus', 'lotusscript', 'apex-code', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",9,6,66.7
0.05,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",9,7,77.8
0.1,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'xpages', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",9,7,77.8
0.15,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",8,7,87.5
0.2,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",8,7,87.5
0.25,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",8,7,87.5
0.3,0.02,"['apex-code', 'lotus-notes', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",8,7,87.5
0.35,0.02,"['apex-code', 'soql', 'visualforce', 'apex', 'oracle-apex-5', 'salesforce-lightning', 'oracle-apex-5.1']",7,6,85.7
0.05,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'xpages', 'apex', 'salesforce-lightning']",6,5,83.3
0.1,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'xpages', 'apex', 'salesforce-lightning']",6,5,83.3
0.15,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'apex', 'salesforce-lightning']",5,5,100
0.2,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'apex', 'salesforce-lightning']",5,5,100
0.25,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'apex', 'salesforce-lightning']",5,5,100
0.3,0.025,"['apex-code', 'lotus-notes', 'visualforce', 'apex', 'salesforce-lightning']",5,5,100
0.35,0.025,"['apex-code', 'visualforce', 'apex', 'salesforce-lightning']",4,4,100
0.05,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.1,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.15,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.2,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.25,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.3,0.03,"['apex-code', 'lotus-notes', 'visualforce', 'apex']",4,4,100
0.35,0.03,"['apex-code', 'visualforce', 'apex']",3,3,100
